127.0.0.1 - - [04/Apr/2023:15:46:36 +0200] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:46:37 +0200] "GET /proyecto/pagina_principal.jsp HTTP/1.1" 200 1839
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:46:37 +0200] "GET /proyecto/img/caballo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:46:37 +0200] "GET /proyecto/pagina_principal.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:46:37 +0200] "GET /proyecto/pagina_principal.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:46:37 +0200] "GET /proyecto/img/IMG-20210726-WA0004.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:46:37 +0200] "GET /proyecto/img/IMG-20210726-WA0005.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:46:37 +0200] "GET /proyecto/img/IMG-20210821-WA0038.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:46:37 +0200] "GET /proyecto/img/IMG-20210901-WA0008.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:46:37 +0200] "GET /proyecto/img/Screenshot_20220601-110802_Instagram.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:46:43 +0200] "GET /proyecto/pagina_principal.jsp HTTP/1.1" 200 1839
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:46:43 +0200] "GET /proyecto/pagina_principal.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:46:43 +0200] "GET /proyecto/img/caballo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:46:43 +0200] "GET /proyecto/pagina_principal.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:46:43 +0200] "GET /proyecto/img/IMG-20210726-WA0005.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:46:43 +0200] "GET /proyecto/img/IMG-20210821-WA0038.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:46:43 +0200] "GET /proyecto/img/IMG-20210726-WA0004.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:46:43 +0200] "GET /proyecto/img/IMG-20210901-WA0008.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:46:43 +0200] "GET /proyecto/img/Screenshot_20220601-110802_Instagram.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:46:44 +0200] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:46:47 +0200] "GET /proyecto/pagina_herramientas.jsp HTTP/1.1" 200 1593
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:46:47 +0200] "GET /proyecto/pagina_herramientas.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:46:47 +0200] "GET /proyecto/img/rasqueta.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:46:47 +0200] "GET /proyecto/img/cepillo.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:46:47 +0200] "GET /proyecto/img/limpia_cascos.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:46:47 +0200] "GET /proyecto/img/bruza.jpg HTTP/1.1" 200 128166
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:46:51 +0200] "GET /proyecto/rasqueta.jsp HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:46:51 +0200] "GET /proyecto/video/rasqueta.mp4 HTTP/1.1" 206 5211674
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:51:07 +0200] "GET /proyecto/pagina_herramientas.jsp HTTP/1.1" 200 1593
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:51:07 +0200] "GET /proyecto/img/bruza.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:51:08 +0200] "GET /proyecto/rasqueta.jsp HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:51:08 +0200] "GET /proyecto/video/rasqueta.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:51:10 +0200] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:51:10 +0200] "GET /proyecto/video/rasqueta.mp4 HTTP/1.1" 206 2000410
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:52:47 +0200] "GET /proyecto/pagina_herramientas.jsp HTTP/1.1" 200 1635
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:52:47 +0200] "GET /proyecto/img/bruza.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:52:50 +0200] "GET /proyecto/cepillo.jsp HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:52:50 +0200] "GET /proyecto/video/cepillo.mp4 HTTP/1.1" 206 4323803
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:52:52 +0200] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:52:52 +0200] "GET /proyecto/video/cepillo.mp4 HTTP/1.1" 206 1112539
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:54:19 +0200] "GET /proyecto/pagina_herramientas.jsp HTTP/1.1" 200 1675
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:54:19 +0200] "GET /proyecto/img/bruza.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:54:21 +0200] "GET /proyecto/bruza.jsp HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:54:21 +0200] "GET /proyecto/video/bruza.mp4 HTTP/1.1" 206 3022034
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:54:23 +0200] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:58:04 +0200] "GET /proyecto/pagina_caballos.jsp HTTP/1.1" 200 3411
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:58:04 +0200] "GET /proyecto/1.js HTTP/1.1" 404 704
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:58:04 +0200] "GET /proyecto/pagina_caballos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:58:08 +0200] "GET /proyecto/pagina_herramientas.jsp HTTP/1.1" 200 1725
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:58:08 +0200] "GET /proyecto/img/bruza.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:58:08 +0200] "GET /proyecto/img/cepillo_crines.jpg HTTP/1.1" 200 13941
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:58:10 +0200] "GET /proyecto/pagina_caballos.jsp HTTP/1.1" 200 3411
0:0:0:0:0:0:0:1 - - [04/Apr/2023:15:58:10 +0200] "GET /proyecto/1.js HTTP/1.1" 404 704
0:0:0:0:0:0:0:1 - - [04/Apr/2023:16:00:45 +0200] "GET /proyecto/pagina_caballos.jsp HTTP/1.1" 200 3411
0:0:0:0:0:0:0:1 - - [04/Apr/2023:16:00:45 +0200] "GET /proyecto/1.js HTTP/1.1" 404 704
0:0:0:0:0:0:0:1 - - [04/Apr/2023:16:00:47 +0200] "GET /proyecto/pagina_herramientas.jsp HTTP/1.1" 200 1921
0:0:0:0:0:0:0:1 - - [04/Apr/2023:16:00:47 +0200] "GET /proyecto/img/bruza.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:16:00:47 +0200] "GET /proyecto/img/cepillo_crines.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:16:00:47 +0200] "GET /proyecto/img/limpia_cascos.jpg HTTP/1.1" 404 725
0:0:0:0:0:0:0:1 - - [04/Apr/2023:16:00:56 +0200] "GET /proyecto/pagina_herramientas.jsp HTTP/1.1" 200 1921
0:0:0:0:0:0:0:1 - - [04/Apr/2023:16:00:56 +0200] "GET /proyecto/img/limpia_cascos.jpg HTTP/1.1" 404 725
0:0:0:0:0:0:0:1 - - [04/Apr/2023:16:01:08 +0200] "GET /proyecto/pagina_herramientas.jsp HTTP/1.1" 200 1922
0:0:0:0:0:0:0:1 - - [04/Apr/2023:16:01:35 +0200] "GET /proyecto/pagina_herramientas.jsp HTTP/1.1" 200 1922
0:0:0:0:0:0:0:1 - - [04/Apr/2023:16:01:35 +0200] "GET /proyecto/img/cepillo_crines.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:16:01:36 +0200] "GET /proyecto/pagina_herramientas.jsp HTTP/1.1" 200 1922
0:0:0:0:0:0:0:1 - - [04/Apr/2023:16:01:38 +0200] "GET /proyecto/pagina_herramientas.jsp HTTP/1.1" 200 1922
0:0:0:0:0:0:0:1 - - [04/Apr/2023:16:01:39 +0200] "GET /proyecto/pagina_herramientas.jsp HTTP/1.1" 200 1922
0:0:0:0:0:0:0:1 - - [04/Apr/2023:16:01:39 +0200] "GET /proyecto/pagina_herramientas.jsp HTTP/1.1" 200 1922
0:0:0:0:0:0:0:1 - - [04/Apr/2023:16:41:08 +0200] "GET /proyecto/bruza.jsp HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [04/Apr/2023:16:41:08 +0200] "GET /proyecto/video/bruza.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:16:41:12 +0200] "GET /proyecto/cepillo_crines.jsp HTTP/1.1" 200 133
