127.0.0.1 - - [14/May/2023:11:23:23 +0200] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [14/May/2023:11:23:24 +0200] "GET /proyecto/pagina_principal.jsp HTTP/1.1" 200 1839
0:0:0:0:0:0:0:1 - - [14/May/2023:11:23:24 +0200] "GET /proyecto/pagina_principal.css HTTP/1.1" 200 3328
0:0:0:0:0:0:0:1 - - [14/May/2023:11:23:24 +0200] "GET /proyecto/img/caballo.jpg HTTP/1.1" 200 14693
0:0:0:0:0:0:0:1 - - [14/May/2023:11:23:24 +0200] "GET /proyecto/pagina_principal.js HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [14/May/2023:11:23:24 +0200] "GET /proyecto/img/IMG-20210726-WA0004.jpg HTTP/1.1" 200 225939
0:0:0:0:0:0:0:1 - - [14/May/2023:11:23:24 +0200] "GET /proyecto/img/IMG-20210726-WA0005.jpg HTTP/1.1" 200 322664
0:0:0:0:0:0:0:1 - - [14/May/2023:11:23:24 +0200] "GET /proyecto/img/IMG-20210821-WA0038.jpg HTTP/1.1" 200 306777
0:0:0:0:0:0:0:1 - - [14/May/2023:11:23:24 +0200] "GET /proyecto/img/IMG-20210901-WA0008.jpg HTTP/1.1" 200 467440
0:0:0:0:0:0:0:1 - - [14/May/2023:11:23:33 +0200] "GET /proyecto/pagina_principal.jsp HTTP/1.1" 200 1839
0:0:0:0:0:0:0:1 - - [14/May/2023:11:23:33 +0200] "GET /proyecto/pagina_principal.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2023:11:23:33 +0200] "GET /proyecto/img/caballo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2023:11:23:33 +0200] "GET /proyecto/pagina_principal.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2023:11:23:33 +0200] "GET /proyecto/img/IMG-20210726-WA0004.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2023:11:23:33 +0200] "GET /proyecto/img/IMG-20210726-WA0005.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2023:11:23:34 +0200] "GET /proyecto/img/IMG-20210821-WA0038.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2023:11:23:34 +0200] "GET /proyecto/img/IMG-20210901-WA0008.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2023:11:23:34 +0200] "GET /proyecto/img/Screenshot_20220601-110802_Instagram.jpg HTTP/1.1" 304 -
